"id_doorvaart";"regel";"van";"naar";"maat";"aantal";"soort";"muntsoort1";"bedrag1";"muntsoort2";"bedrag2";"muntsoort3";"bedrag3";"maat_alt";"aantal_alt";"hulp"
"977713";"1";"Hull";"Stockholm";"-";"-";"Baglast";"";"";"";"";"";"";"";"";""
"977714";"1";"Memel";"London";"-";"589";"Bielker";"Daler";"18";"Skilling";"20";"";"";"";"";""
"977714";"2";"Memel";"London";"Favne";"10";"Lægter";"Daler";"1/2";"Skilling";"6";"";"";"";"";""
"977714";"3";"Memel";"London";"-";"11";"Master";"Daler";"5 1/2";"";"";"";"";"";"";""
"977714";"4";"Memel";"London";"-";"4";"Bugspriter";"Daler";"1/2";"Skilling";"8";"";"";"";"";""
"977714";"5";"Memel";"London";"-";"192";"Pr. Dehler";"Daler";"2";"Skilling";"20";"";"";"";"";""
"977731";"1";"Amsterdam";"Stockholm";"Skippund";"9 1/2";"Ost";"Daler";"1/2";"Skilling";"13";"";"";"";"";""
"977731";"2";"Amsterdam";"Stockholm";"Ahm";"7 1/2";"Roe ollie";"Daler";"1/2";"Skilling";"10";"";"";"";"";""
"977731";"3";"Amsterdam";"Stockholm";"Riss";"40";"Papier";"Skilling";"15";"";"";"";"";"";"";""
"977731";"4";"Amsterdam";"Stockholm";"Rd.";"270";"Krammerie";"Daler";"2 1/2";"Skilling";"10";"";"";"";"";""
"977734";"1";"Memel";"Greenock";"-";"430";"Bielker";"Daler";"13";"Skilling";"21";"";"";"";"";""
"977734";"2";"Memel";"Greenock";"Favne";"12";"Lægter";"Daler";"1/2";"Skilling";"12";"";"";"";"";""
"977734";"3";"Memel";"Greenock";"-";"385";"Dehler";"Daler";"4 1/2";"Skilling";"15";"";"";"";"";""
"977754";"1";"Memel";"London";"-";"588";"Bielker";"Daler";"18";"Skilling";"18";"";"";"";"";""
"977756";"1";"London";"St. Petersborg";"-";"-";"Baglast";"";"";"";"";"";"";"";"";""
"977761";"1";"Memel";"London";"-";"490";"Bielker";"Daler";"15";"Skilling";"15";"";"";"";"";""
"977761";"2";"Memel";"London";"Favne";"6";"Lægter";"Skilling";"18";"";"";"";"";"";"";""
"977761";"3";"Memel";"London";"-";"218";"Dehler";"Daler";"2 1/2";"Skilling";"11";"";"";"";"";""
"977776";"1";"London";"Riga";"Pund";"42620";"Sukker";"Daler";"79 1/2";"Skilling";"20";"";"";"";"";""
"977776";"2";"London";"Riga";"Skippund";"1/3";"Tiin";"Skilling";"8";"";"";"";"";"";"";""
"977776";"3";"London";"Riga";"Skippund";"1 1/2";"Humle";"Skilling";"9";"";"";"";"";"";"";""
"977776";"4";"London";"Riga";"Centner";"14 1/2";"Haul";"Daler";"1";"Skilling";"8";"";"";"";"";""
"977776";"5";"London";"Riga";"Oksehovede";"2";"Rum";"Daler";"1";"";"";"";"";"";"";""
"977776";"6";"London";"Riga";"Oksehovede";"1 13/15";"Madera Viin";"Daler";"1 1/2";"Skilling";"18";"";"";"";"";""
"977776";"7";"London";"Riga";"Stk.";"22";"Ulden stoffer";"Daler";"1/2";"Skilling";"4";"";"";"";"";""
"977776";"8";"London";"Riga";"Rd.";"6770";"Krammerie";"Daler";"67 1/2";"Skilling";"10";"";"";"";"";""
"977780";"1";"Memel";"Lewerpool";"-";"552";"Bielker";"Daler";"17";"Skilling";"12";"";"";"";"";""
"977780";"2";"Memel";"Lewerpool";"-";"108";"Dehler";"Daler";"1";"Skilling";"17";"";"";"";"";""
"977797";"1";"Hamborg";"Riga";"-";"-";"Baglast";"";"";"";"";"";"";"";"";""
"977804";"1";"Memel";"Plymouth";"-";"412";"Bielker";"Daler";"12 1/2";"Skilling";"18";"";"";"";"";""
"977804";"2";"Memel";"Plymouth";"-";"410";"Dehler";"Daler";"5";"Skilling";"6";"";"";"";"";""
"977804";"3";"Memel";"Plymouth";"Favne";"8";"Lægter";"Daler";"1/2";"";"";"";"";"";"";""
"977804";"4";"Memel";"Plymouth";"Læster";"3";"Hvede";"Daler";"3";"";"";"";"";"";"";""
"977805";"1";"Marstrand";"Stockholm";"Læster";"15";"Sild";"";"";"";"";"";"";"";"";""
"977805";"2";"Marstrand";"Stockholm";"Tønder";"305";"Sild";"Daler";"20";"Skilling";"10";"";"";"";"";""
"977805";"3";"Marstrand";"Stockholm";"Tønder";"7";"Cabeljau";"Skilling";"7";"";"";"";"";"";"";""
"977805";"4";"Marstrand";"Stockholm";"Wohler";"2";"Længer";"Skilling";"1";"";"";"";"";"";"";""
"977805";"5";"Marstrand";"Stockholm";"Kande";"16 2/3";"Rød wiin";"Skilling";"5";"";"";"";"";"";"";""
"977805";"6";"Marstrand";"Stockholm";"Pund";"569";"Sukk.";"Daler";"1";"Skilling";"4";"";"";"";"";""
"977805";"7";"Marstrand";"Stockholm";"Rd.";"100";"Krammerie";"Daler";"1";"";"";"";"";"";"";""
"977813";"1";"Dundee";"Dantzig";"-";"-";"Baglast";"";"";"";"";"";"";"";"";""
"977818";"1";"Port Poutton";"Liebau";"-";"-";"Baglast";"";"";"";"";"";"";"";"";""
"977830";"1";"Memel";"Hull";"-";"345";"Bielker";"Daler";"10 1/2";"Skilling";"14";"";"";"";"";""
"977830";"2";"Memel";"Hull";"-";"624";"Pr. Dehler";"Daler";"7 1/2";"Skilling";"15";"";"";"";"";""
"977830";"3";"Memel";"Hull";"Favne";"2";"Lægter";"Skilling";"6";"";"";"";"";"";"";""
"977831";"1";"Leverpoole";"Riga";"Læster";"110";"Salt";"Daler";"55";"";"";"";"";"";"";""
"977836";"1";"Rostock";"Christiansund";"Læster";"29";"Malt";"";"";"";"";"";"";"";"";""
"977836";"2";"Rostock";"Christiansund";"Læster";"2";"Byg";"Daler";"13 1/2";"Skilling";"22";"";"";"Læster";"37 1/5";"Byg giør 37 1/5 Læster"
"977846";"1";"London";"Riga";"-";"-";"Baglast";"";"";"";"";"";"";"";"";""
"977851";"1";"Memel";"London";"-";"546";"Bielker";"Daler";"17";"Skilling";"3";"";"";"";"";""
"977851";"2";"Memel";"London";"Favne";"5 3/4";"Lægter";"Skilling";"18";"";"";"";"";"";"";""
"977851";"3";"Memel";"London";"Skok";"8";"Staver";"Skilling";"6";"";"";"";"";"";"";""
"977851";"4";"Memel";"London";"-";"98";"Dehler";"Daler";"1";"Skilling";"11";"";"";"";"";""
"977859";"1";"London";"Riga";"-";"-";"Baglast";"";"";"";"";"";"";"";"";""
"977865";"1";"London";"Memel";"-";"-";"Baglast";"";"";"";"";"";"";"";"";""
"977871";"1";"Memel";"Hull";"-";"379";"Bielker";"Daler";"11 1/2";"Skilling";"17";"";"";"";"";""
"977871";"2";"Memel";"Hull";"Favne";"8";"Lægter";"Daler";"1/2";"";"";"";"";"";"";""
"977871";"3";"Memel";"Hull";"Skok";"6";"Staver";"Skilling";"5";"";"";"";"";"";"";""
"977871";"4";"Memel";"Hull";"-";"509";"Dehler";"Daler";"6";"Skilling";"18";"";"";"";"";""
"977874";"1";"Rostock";"London";"Læster";"18 1/2";"Rug";"";"";"";"";"";"";"";"";""
"977874";"2";"Rostock";"London";"Læster";"10 1/2";"Byg";"";"";"";"";"";"";"";"";""
"977874";"3";"Rostock";"London";"Læster";"10";"Malt";"Daler";"17 1/2";"Skilling";"3";"";"";"Læster";"46 4/5";"Malt giør 46 4/5 Læster"
"977874";"4";"Rostock";"London";"Læster";"1";"Havre";"Skilling";"15";"";"";"";"";"Læster";"1 1/5";"Havre 1 1/5 Læster"
"977874";"5";"Rostock";"London";"Læster";"2";"Erter";"Daler";"1/2";"";"";"";"";"";"";""
"977874";"6";"Rostock";"London";"Rd.";"800";"Krammerie";"Daler";"10";"";"";"";"";"";"";""
"977877";"1";"Hull";"Memel";"-";"-";"Baglast";"";"";"";"";"";"";"";"";""
"977891";"1";"Hull";"Memel";"-";"-";"Baglast";"";"";"";"";"";"";"";"";""
"977905";"1";"London";"Memel";"-";"-";"Baglast";"";"";"";"";"";"";"";"";""
"977913";"1";"Dantzig";"Newcastle";"Skok";"12";"Planker";"Daler";"12";"";"";"";"";"";"";""
"977913";"2";"Dantzig";"Newcastle";"Skok";"4";"Dehler";"";"";"";"";"";"";"";"";""
"977913";"3";"Dantzig";"Newcastle";"Stk.";"40";"Dehler";"Daler";"3 1/2";"";"";"";"";"";"";""
"977913";"4";"Dantzig";"Newcastle";"Skok";"17";"Staver";"Skilling";"13";"";"";"";"";"";"";""
"977913";"5";"Dantzig";"Newcastle";"-";"39";"Bielker";"Daler";"1";"Skilling";"11";"";"";"";"";""
"977913";"6";"Dantzig";"Newcastle";"Læster";"14";"Hvede";"Daler";"4";"";"";"";"";"";"";""
"977913";"7";"Dantzig";"Newcastle";"Rd.";"23 1/3";"Krammerie";"Skilling";"12";"";"";"";"";"";"";""
"977916";"1";"London";"Memel";"-";"-";"Baglast";"";"";"";"";"";"";"";"";""
"977920";"1";"Rostock";"Tronhiem";"Læster";"50";"Malt";"";"";"";"";"";"";"";"";""
